"Quốc gia","Tỉnh/Thành phố",Quận/Huyện,"Zip/Postal Code From","Zip/Postal Code To","Trọng lượng From","Trọng lượng To","Shipping Price","Delivery Type"
BRA,*,,,,13501.0000,14000.0000,6460410.0000,"Express Saver"
BRA,*,,,,1501.0000,2000.0000,1080420.0000,"Normal Shipping"
BRA,*,,,,5501.0000,6000.0000,3218490.0000,"Express Saver"
BRA,*,,,,9001.0000,9500.0000,3863970.0000,"Normal Shipping"
BRA,*,,,,13001.0000,13500.0000,6257790.0000,"Express Saver"
BRA,*,,,,1001.0000,1500.0000,894850.0000,"Normal Shipping"
BRA,*,,,,5001.0000,5500.0000,3015870.0000,"Express Saver"
BRA,*,,,,8501.0000,9000.0000,3678400.0000,"Normal Shipping"
BRA,*,,,,12501.0000,13000.0000,6055170.0000,"Express Saver"
BRA,*,,,,501.0000,1000.0000,709280.0000,"Normal Shipping"
BRA,*,,,,4501.0000,5000.0000,2813250.0000,"Express Saver"
BRA,*,,,,0.0000,500.0000,523710.0000,"Normal Shipping"
BRA,*,,,,8001.0000,8500.0000,3492830.0000,"Normal Shipping"
BRA,*,,,,12001.0000,12500.0000,5852550.0000,"Express Saver"
BRA,*,,,,4001.0000,4500.0000,2610630.0000,"Express Saver"
BRA,*,,,,7501.0000,8000.0000,3307260.0000,"Normal Shipping"
BRA,*,,,,11501.0000,12000.0000,5649930.0000,"Express Saver"
BRA,*,,,,15001.0000,15500.0000,6090810.0000,"Normal Shipping"
BRA,*,,,,3501.0000,4000.0000,2408010.0000,"Express Saver"
BRA,*,,,,7001.0000,7500.0000,3121690.0000,"Normal Shipping"
BRA,*,,,,11001.0000,11500.0000,5447310.0000,"Express Saver"
BRA,*,,,,14501.0000,15000.0000,5905240.0000,"Normal Shipping"
BRA,*,,,,3001.0000,3500.0000,2205390.0000,"Express Saver"
BRA,*,,,,6501.0000,7000.0000,2936120.0000,"Normal Shipping"
BRA,*,,,,10501.0000,11000.0000,5244690.0000,"Express Saver"
BRA,*,,,,14001.0000,14500.0000,5719670.0000,"Normal Shipping"
BRA,*,,,,2501.0000,3000.0000,2002770.0000,"Express Saver"
BRA,*,,,,6001.0000,6500.0000,2750550.0000,"Normal Shipping"
BRA,*,,,,10001.0000,10500.0000,5042070.0000,"Express Saver"
BRA,*,,,,13501.0000,14000.0000,5534100.0000,"Normal Shipping"
BRA,*,,,,2001.0000,2500.0000,1800150.0000,"Express Saver"
BRA,*,,,,5501.0000,6000.0000,2564980.0000,"Normal Shipping"
BRA,*,,,,9501.0000,10000.0000,4839450.0000,"Express Saver"
BRA,*,,,,13001.0000,13500.0000,5348530.0000,"Normal Shipping"
BRA,*,,,,1501.0000,2000.0000,1597530.0000,"Express Saver"
BRA,*,,,,5001.0000,5500.0000,2379410.0000,"Normal Shipping"
BRA,*,,,,9001.0000,9500.0000,4636830.0000,"Express Saver"
BRA,*,,,,12501.0000,13000.0000,5162960.0000,"Normal Shipping"
BRA,*,,,,1001.0000,1500.0000,1394910.0000,"Express Saver"
BRA,*,,,,4501.0000,5000.0000,2193840.0000,"Normal Shipping"
CAN,*,,,,12501.0000,13000.0000,2918410.0000,"Normal Shipping"
